,企業名,キャッチコピー,ステータス,給与
0,株式会社NST | 総合不動産企業としてグループ年商1000億円を目指して成長中！,自社ブランドマンションの【宅建事務】月給34万円～/土日祝休み 正社員,正社員,月給34万円〜月給50万円+インセンティブ ※経験・スキルを考慮の上、当社規定により優遇 ※上記、給与に…
1,株式会社ゴールドファステート | 【テレビCM放映中の成長企業】※大阪府緊急雇用対策に賛同,"高インセンティブ★平均年収は1,000万円超【営業】WEB面接実施中 正社員",正社員,■固定月給30万円以上＋諸手当＋インセンティブ 【半年に1度昇給あり。主任に上がれば固定月給40万円以上…
2,株式会社要 | ＜ゲームやアプリ開発、インフラ構築など案件豊富＞※未経験OK,【ITエンジニア(開発/インフラ)】★残業平均7H以下★有給即付与 正社員,正社員,月給28〜60万円 ＋ 賞与年2回 ※経験・スキルなどを考慮の上、決定します。 ※時間外手当などは別途全額…
3,株式会社 High mind | menuトップパートナー★大人気Youtuberなどが絶賛PR中,"フードデリバリーアプリ""menu""の【法人営業】年休125日(土日祝) 正社員",正社員,【 月給25万円〜50万円＋インセンティブ 】 経験・スキル・前職給与などを考慮の上、決定します。 固定…
4,クルーガーグループ株式会社 | 自由な月9日休み◆多彩な福利厚生◆NHKパートナー企業の安定性,未経験歓迎♪テレビ業界を応援！【ルートセールス】*1ヶ月半研修 正社員,正社員,■月給制 【関東・甲信越】25万円〜＋歩合 【北海道・宮城】23万円〜＋歩合 【神奈川】26万円〜 【青森】…
5,株式会社オープンハウス | 東証一部上場◆20代の管理職率76％◆年4回昇給&昇格のチャンス有,"9割が未経験スタート！【提案営業】平均年収1,025万円 正社員",正社員,"月給30万円以上＋賞与年2回 ★年収1,000万円突破率は入社3年で30％、5年で60％！ ※経験・スキルを考慮…"
6,UTコンストラクション株式会社 | 大手グループ・安定基盤／年休120日以上・土日休み,未経験歓迎【プロジェクトサポート】平均月収29万円/男性活躍中 正社員,正社員,月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…
7,株式会社ビッグモーター | ＼業界No.1◆全国店舗で200名採用◆直近1年の最高年収2282万円／,平均年収861万円【カーライフアドバイザー】*経験/学歴/年齢不問 正社員,正社員,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※ご経験・ご年齢を考慮…
8,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,コツコツ働ける♪【箱詰め・在庫確認スタッフ】未経験歓迎！ 正社員,正社員,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
9,株式会社ビッグモーター | 業界No.1◆月給23万9800円～☆残業ほぼなし☆面接1回,未経験からはじめる【フロントスタッフ(受付・事務)】*学歴不問 正社員,正社員,【東京・千葉・埼玉エリア】 ◆月給25万3600円〜38万5200円 ＋ 賞与年2回 ＋ インセンティブ ＋ 諸手当 …
